model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,isConv,finTol,NSE,R2_test,id,seed
lm,0.6151052028587628,0.6138307167755137,71.96446222662622,482.62998783841977,1.4218738965644717e-64,1,-1730.3104248832265,3466.620849766453,3477.7719328706717,1564022.9147173886,302,304,NA,NA,0.5194384081115562,0.5222430060634747,23_s2_m1_r3_Kita_-9.375_12.875,1
poly,0.6904230720659308,0.6883660825115516,64.64747708759158,335.6473398691134,2.2944163475879096e-77,2,-1697.2103841302267,3402.4207682604533,3417.288879066078,1257968.184430994,301,304,NA,NA,0.6106294738723981,0.6108161890194223,23_s2_m1_r3_Kita_-9.375_12.875,1
step,0.7165461620924963,0.7098428618717108,62.38006900920196,106.89453530227301,3.3512871274064745e-77,7,-1683.8104690426287,3385.6209380852574,3419.074187397913,1151816.8108394684,296,304,NA,NA,0.6450776208116461,0.6480029860132934,23_s2_m1_r3_Kita_-9.375_12.875,1
nls,NA,NA,68.00009030212311,NA,NA,NA,-1713.0847561983326,3432.169512396665,3443.320595500884,1396451.708891263,302,304,TRUE,4.680453421981824e-6,0.5770567404872942,0.5827114748424163,23_s2_m1_r3_Kita_-9.375_12.875,1
lm,0.7953691483593921,0.7946915627579332,52.47260435996847,1173.8282906939228,4.651186945258031e-106,1,-1634.2825384741082,3274.5650769482163,3285.716160052435,831519.0109119702,302,304,NA,NA,0.7820219573591145,0.7830425945011213,24_s3_m1_r3_Kita_-9.375_12.875,1
poly,0.8683126555296121,0.8674376565630315,42.163757590241154,992.3584926309493,3.100116568749788e-133,2,-1567.284415980401,3142.568831960802,3157.436942766427,535112.5186927142,301,304,NA,NA,0.8720876246629086,0.8733321283786171,24_s3_m1_r3_Kita_-9.375_12.875,1
step,0.8244606353727265,0.8209143855822766,49.00716410724581,232.48803217218202,4.724339332420794e-109,6,-1610.9742026614165,3237.948405322833,3267.6846269340826,713305.5337488531,297,304,NA,NA,0.8015999442608609,0.8020736174127812,24_s3_m1_r3_Kita_-9.375_12.875,1
nls,NA,NA,46.44253183937674,NA,NA,NA,-1597.1715749714622,3200.3431499429244,3211.494233047143,651386.4466227598,302,304,TRUE,8.919741966098125e-6,0.8382774699766845,0.8457714084867518,24_s3_m1_r3_Kita_-9.375_12.875,1
lm,0.6670613264114433,0.6659768356179953,48.00218553211657,615.0917374693106,2.680076766872253e-75,1,-1633.6639378950101,3273.3278757900202,3284.5278996207135,707392.4134689406,307,309,NA,NA,0.7261135342098283,0.730503500433843,25_s1_m1_r3_Korhogo_-5.625_9.375,1
poly,0.6751904540063232,0.6730675157972141,47.48995471121479,318.04526910357015,1.9019715755686207e-75,2,-1629.8448042848995,3267.689608569799,3282.62297367739,690120.514332809,306,309,NA,NA,0.7440333270507565,0.7481586381998931,25_s1_m1_r3_Korhogo_-5.625_9.375,1
